what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400957563560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957570487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957702063
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400957715896
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400957777645
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1400957780483
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1400957780545
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1400957780693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957809185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957821917
started,bundle,com.android.ide.eclipse.ddms,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.ddms",1400957824568
started,bundle,com.android.ide.eclipse.traceview,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.traceview",1400957825166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957826828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957826953
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400957832441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400957887684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957899323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957990154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400957995008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958040117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958042661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958086226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958093266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958125208
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400958163928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400958172297
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400958173340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400958175273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400958176189
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1400958178050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958179772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400958190456
activated,editor,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.editors.CommonXmlEditor",1400958217576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400958226743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400958227830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400958229181
